FIPS,YEAR,State,County,Program,Category,Benefit Type,Funding Level / Amount (Approx.),Incentive_CAT
1000,2019,AL,,Remote Shoals 2019,,,"$10,000 for first 140 participants",2
1000,2020,AL,,Remote Shoals 2019,,,"$10,000 for first 140 participants",2
1000,2021,AL,,Remote Shoals 2019,,,"$10,000 for first 140 participants",2
18000,2018,IN,,IHCDA 2018,Down payment assistance; loan,"Second mortgage, interest free","a borrower can qualify for 2.5%, 3.5%, or 5% down payment assistance",1
18000,2019,IN,,IHCDA 2018,Down payment assistance; loan,"Second mortgage, interest free","a borrower can qualify for 2.5%, 3.5%, or 5% down payment assistance",1
18000,2020,IN,,IHCDA 2018,Down payment assistance; loan,"Second mortgage, interest free","a borrower can qualify for 2.5%, 3.5%, or 5% down payment assistance",1
18000,2021,IN,,IHCDA 2018,Down payment assistance; loan,"Second mortgage, interest free","a borrower can qualify for 2.5%, 3.5%, or 5% down payment assistance",1
5007,2020,ARKANSAS,Benton,Life Works Here (NWA),Remote worker relocation,Relocation payment; lifestyle package,"$10,000 cash + choice of mountain bike or cultural/museum membership package",2
5007,2021,ARKANSAS,Benton,Life Works Here (NWA),Remote worker relocation,Relocation payment; lifestyle package,"$10,000 cash + choice of mountain bike or cultural/museum membership package",2
5007,2022,ARKANSAS,Benton,Life Works Here (NWA),Remote worker relocation,Relocation payment; lifestyle package,"$10,000 cash + choice of mountain bike or cultural/museum membership package",2
5143,2020,ARKANSAS,Washington,Life Works Here (NWA),Remote worker relocation,Relocation payment; lifestyle package,"$10,000 cash + choice of mountain bike or cultural/museum membership package",2
5143,2021,ARKANSAS,Washington,Life Works Here (NWA),Remote worker relocation,Relocation payment; lifestyle package,"$10,000 cash + choice of mountain bike or cultural/museum membership package",2
5143,2022,ARKANSAS,Washington,Life Works Here (NWA),Remote worker relocation,Relocation payment; lifestyle package,"$10,000 cash + choice of mountain bike or cultural/museum membership package",2
12001,2016,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12001,2017,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12001,2018,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12001,2019,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12001,2020,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12001,2021,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12001,2022,FLORIDA,Alachua,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
12003,2016,FLORIDA,Baker,Florida Housing Finance Corporation  DPA Programs,Down payment assistance; homeownership support,Down payment and closing cost assistance,"Second?mortgage assistance commonly $7,500$10,000, often deferred or forgiven after set occupancy period",3
