FIPS,YEAR,BEA_PCI,BEA_GDP,RPP
01001,2020,45068,1746979,87.517
01001,2021,49174,1736001,88.497
01001,2011,34430,1493906,91.098
01001,2012,35151,1726577,93.269
01001,2013,35348,1618151,91.394
01001,2014,36329,1629762,90.675
01001,2015,38107,1765826,90.622
01001,2016,39005,1846256,93.087
01001,2017,39906,1762558,92.801
01001,2018,41062,1787534,88.423
01001,2019,42538,1740015,88.756
01003,2020,50895,8109210,90.744
01003,2021,56285,8706236,92.054
01003,2011,38032,5930698,93.374
01003,2012,38284,5998672,95.844
01003,2013,38401,6314704,94.158
01003,2014,39568,6455247,94.076
01003,2015,41470,6757534,93.475
01003,2016,42983,7113177,94.811
01003,2017,44475,7382558,95.652
01003,2018,45840,7758980,91.47
01003,2019,47921,8145105,94.622
01005,2011,27992,773539,82.322
01005,2012,27779,747338,83.494
01005,2013,29450,841037,83.344
01005,2014,29470,799643,84.043
01005,2015,31062,781055,83.451
01005,2016,31071,770750,83.705
01005,2017,31992,761761,83.089
01005,2018,33239,774076,82.585
01005,2019,34694,762090,83.497
01005,2020,37062,732151,81.314
01005,2021,40954,753330,83.226
01007,2020,34817,460844,91.821
01007,2021,37362,460027,90.81
01007,2011,25879,412477,94.856
01007,2012,26917,409288,94.184
01007,2013,27117,409987,94.579
01007,2014,27860,406249,93.747
01007,2015,28760,393928,93.603
01007,2016,28584,401486,94.478
01007,2017,28876,406741,93.398
01007,2018,30030,397141,90.432
01007,2019,32102,441282,91.271
01009,2011,28365,854229,94.856
01009,2020,37764,906582,91.821
01009,2012,29728,929622,94.184
01009,2021,42975,1033615,90.81
01009,2013,30035,930928,94.579
01009,2014,31310,962397,93.747
01009,2015,32471,1014647,93.603
01009,2016,32533,944003,94.478
01009,2017,33784,987967,93.398
01009,2018,35278,1046736,90.432
01009,2019,36554,1012139,91.271
01011,2021,34068,260950,83.226
01011,2020,30672,269007,81.314
01011,2019,27176,266360,83.497
01011,2018,26117,257012,82.585
01011,2017,25715,244958,83.089
01011,2016,25160,244091,83.705
01011,2015,24998,222752,83.451
01011,2014,23844,227326,84.043
01011,2013,24577,241960,83.344
01011,2012,24752,265390,83.494
01011,2011,23859,247606,82.322
01013,2020,39470,601322,81.314
01013,2019,37751,637975,83.497
01013,2018,36547,653349,82.585
01013,2017,35669,630225,83.089
01013,2016,34410,611955,83.705
01013,2015,34718,620733,83.451
01013,2014,33018,597419,84.043
01013,2013,31585,594973,83.344
01013,2012,29996,588210,83.494
01013,2011,28820,601003,82.322
01013,2021,45438,639245,83.226
01015,2011,31651,4460812,90.883
01015,2012,31958,4463867,90.739
01015,2013,31620,4347654,90.376
01015,2014,32439,4186770,89.684
01015,2015,33651,4145820,91.107
01015,2016,34013,4201651,90.796
01015,2017,34695,4244400,88.603
01015,2018,35643,4342966,85.153
01015,2019,36761,4566934,87.594
01015,2020,39562,4454207,85.738
01015,2021,43215,4704903,83.736
01017,2020,35955,882006,81.314
01017,2021,39269,876257,83.226
01017,2011,28531,824718,82.322
01017,2012,28866,806939,83.494
01017,2013,29019,845763,83.344
01017,2014,29505,835370,84.043
01017,2015,30710,857265,83.451
01017,2016,31441,875192,83.705
01017,2017,31257,872734,83.089
01017,2018,32527,909826,82.585
01017,2019,33550,937830,83.497
01019,2020,39894,534073,81.314
01019,2011,29054,513632,82.322
01019,2021,44590,597740,83.226
01019,2012,30242,528911,83.494
01019,2013,31444,567565,83.344
01019,2014,32953,557528,84.043
01019,2015,34683,568884,83.451
01019,2016,34613,562801,83.705
01019,2017,35554,558805,83.089
01019,2018,37121,592093,82.585
01019,2019,37892,575262,83.497
01021,2021,42839,1096741,90.81
01021,2020,38311,1069934,91.821
01021,2019,36220,1115138,91.271
01021,2018,34474,1032448,90.432
01021,2017,33222,983589,93.398
01021,2016,32100,972795,94.478
