FIPS,YEAR,unemp_rate
10001,2021,6.0
10001,2020,7.9
10001,2019,3.7
10001,2018,3.8
10001,2017,4.5
10001,2016,4.6
10001,2015,5.3
10001,2014,6.3
10001,2013,7.2
10001,2012,7.7
10001,2011,8.1
10003,2021,5.5
10003,2020,7.5
10003,2019,3.5
10003,2018,3.6
10003,2017,4.4
10003,2016,4.5
10003,2015,4.7
10003,2014,5.4
10003,2013,6.3
10003,2012,6.8
10003,2011,7.2
10005,2021,5.0
10005,2020,7.2
10005,2019,3.6
10005,2018,3.7
10005,2017,4.4
10005,2016,4.5
10005,2015,4.9
10005,2014,5.7
10005,2013,6.7
10005,2012,7.0
10005,2011,7.6
11001,2021,6.8
11001,2020,8.0
11001,2019,5.5
11001,2018,5.7
11001,2017,6.1
11001,2016,6.2
11001,2015,6.9
11001,2014,7.7
11001,2013,8.4
11001,2012,8.9
11001,2011,10.1
12001,2021,4.0
12001,2020,5.8
12001,2019,3.1
12001,2018,3.5
12001,2017,4.0
12001,2016,4.5
12001,2015,4.7
12001,2014,5.4
12001,2013,6.0
12001,2012,6.9
12001,2011,7.7
12003,2021,3.9
12003,2020,5.3
12003,2019,3.0
12003,2018,3.4
12003,2017,4.1
12003,2016,4.7
12003,2015,5.6
12003,2014,6.7
12003,2013,7.8
12003,2012,8.9
12003,2011,10.4
12005,2021,4.0
12005,2020,6.3
12005,2019,3.8
12005,2018,4.1
12005,2017,4.2
12005,2016,4.8
12005,2015,5.5
12005,2014,6.6
12005,2013,7.6
12005,2012,9.0
12005,2011,10.4
12007,2021,4.7
12007,2020,6.8
12007,2019,3.5
12007,2018,3.7
12007,2017,4.0
12007,2016,4.7
12007,2015,4.9
12007,2014,5.9
12007,2013,6.6
12007,2012,7.8
12007,2011,9.2
12009,2021,4.2
12009,2020,6.9
12009,2019,3.3
12009,2018,3.6
12009,2017,4.4
12009,2016,5.2
12009,2015,6.1
12009,2014,7.3
12009,2013,8.7
12009,2012,9.7
12009,2011,11.1
12011,2021,5.0
12011,2020,9.3
12011,2019,3.1
12011,2018,3.4
12011,2017,4.0
12011,2016,4.6
12011,2015,5.2
12011,2014,6.2
12011,2013,7.1
12011,2012,8.3
12011,2011,9.6
12013,2021,4.6
12013,2020,5.2
12013,2019,3.9
12013,2018,4.2
12013,2017,4.7
12013,2016,5.6
12013,2015,6.2
12013,2014,7.2
12013,2013,8.2
12013,2012,9.5
12013,2011,10.5
12015,2021,4.8
12015,2020,8.0
12015,2019,3.9
12015,2018,4.3
12015,2017,5.0
12015,2016,5.6
12015,2015,6.1
12015,2014,7.1
12015,2013,8.4
12015,2012,9.9
12015,2011,11.5
12017,2021,5.6
12017,2020,8.3
12017,2019,4.7
12017,2018,5.0
12017,2017,5.6
12017,2016,6.4
12017,2015,7.6
12017,2014,8.9
12017,2013,10.1
12017,2012,11.1
12017,2011,12.7
12019,2021,3.7
12019,2020,5.6
12019,2019,3.1
12019,2018,3.4
12019,2017,3.9
12019,2016,4.5
12019,2015,5.1
12019,2014,6.0
12019,2013,6.6
12019,2012,7.9
12019,2011,9.2
12021,2021,4.0
12021,2020,7.7
12021,2019,3.4
12021,2018,3.7
12021,2017,4.4
12021,2016,5.0
12021,2015,5.3
12021,2014,6.2
12021,2013,7.4
12021,2012,8.7
12021,2011,10.3
12023,2021,4.9
12023,2020,6.6
12023,2019,3.5
12023,2018,4.1
12023,2017,4.7
12023,2016,5.3
12023,2015,5.6
12023,2014,6.9
12023,2013,7.9
12023,2012,9.1
12023,2011,10.5
12027,2021,4.2
12027,2020,5.4
12027,2019,3.5
12027,2018,3.9
12027,2017,4.5
12027,2016,5.4
12027,2015,5.9
12027,2014,7.4
12027,2013,8.6
12027,2012,10.3
12027,2011,10.6
12029,2021,4.7
12029,2020,6.1
12029,2019,3.9
12029,2018,4.4
12029,2017,5.0
12029,2016,5.7
12029,2015,6.3
12029,2014,7.7
12029,2013,8.9
12029,2012,10.6
12029,2011,12.5
12031,2021,4.6
12031,2020,7.0
12031,2019,3.4
12031,2018,3.7
12031,2017,4.3
12031,2016,4.9
12031,2015,5.9
12031,2014,7.0
12031,2013,7.9
12031,2012,9.0
12031,2011,10.4
12033,2021,4.7
12033,2020,7.0
12033,2019,3.3
12033,2018,3.7
12033,2017,4.2
12033,2016,4.9
12033,2015,5.6
12033,2014,6.7
12033,2013,7.6
12033,2012,8.7
12033,2011,9.8
12035,2021,4.7
12035,2020,7.8
12035,2019,3.8
12035,2018,4.1
12035,2017,4.8
12035,2016,5.5
12035,2015,6.3
12035,2014,7.6
12035,2013,8.7
12035,2012,10.2
12035,2011,11.6
12037,2021,4.4
12037,2020,6.3
12037,2019,4.1
12037,2018,4.0
12037,2017,4.1
12037,2016,4.8
12037,2015,4.7
12037,2014,5.9
12037,2013,5.8
12037,2012,6.7
12037,2011,7.8
12039,2021,6.1
12039,2020,7.7
12039,2019,4.4
12039,2018,4.9
12039,2017,5.8
12039,2016,6.6
12039,2015,7.3
12039,2014,8.6
12039,2013,9.6
12039,2012,10.7
12039,2011,11.8
12041,2021,3.7
12041,2020,4.9
12041,2019,3.2
12041,2018,3.6
12041,2017,4.2
12041,2016,4.8
12041,2015,5.7
12041,2014,7.0
12041,2013,8.2
12041,2012,9.4
12041,2011,10.5
12043,2021,5.3
12043,2020,7.4
12043,2019,4.9
12043,2018,4.7
12043,2017,6.2
12043,2016,7.2
12043,2015,7.2
12043,2014,8.0
12043,2013,7.8
12043,2012,8.0
12043,2011,9.7
12045,2021,3.5
12045,2020,5.5
12045,2019,4.7
12045,2018,5.0
12045,2017,4.3
12045,2016,5.0
12045,2015,5.3
12045,2014,6.3
12045,2013,7.1
12045,2012,8.4
12045,2011,9.8
12047,2021,6.4
12047,2020,8.7
12047,2019,4.5
12047,2018,4.6
12047,2017,5.3
12047,2016,6.1
12047,2015,6.6
12047,2014,7.9
12047,2013,9.0
12047,2012,9.2
12047,2011,10.5
12049,2021,4.4
12049,2020,6.0
12049,2019,4.5
12049,2018,4.7
12049,2017,5.2
12049,2016,5.9
12049,2015,7.1
12049,2014,8.0
12049,2013,8.6
12049,2012,9.2
12049,2011,10.2
12051,2021,4.9
12051,2020,6.8
12051,2019,4.7
12051,2018,4.8
12051,2017,5.8
12051,2016,6.8
12051,2015,10.7
12051,2014,11.8
12051,2013,12.5
12051,2012,13.2
12051,2011,14.0
12053,2021,4.7
12053,2020,7.6
12053,2019,3.9
12053,2018,4.2
12053,2017,4.8
12053,2016,5.5
12053,2015,7.0
12053,2014,8.3
12053,2013,9.4
12053,2012,10.9
12053,2011,12.7
12055,2021,6.0
12055,2020,8.1
12055,2019,4.7
12055,2018,4.9
12055,2017,5.7
12055,2016,6.7
12055,2015,7.6
12055,2014,8.8
12055,2013,10.0
12055,2012,10.6
12055,2011,11.7
12057,2021,4.5
12057,2020,7.6
12057,2019,3.2
12057,2018,3.5
12057,2017,4.0
12057,2016,4.5
12057,2015,5.1
12057,2014,6.0
12057,2013,6.9
12057,2012,8.2
12057,2011,9.7
12059,2021,3.8
12059,2020,5.3
12059,2019,3.3
12059,2018,3.6
12059,2017,4.3
12059,2016,4.9
12059,2015,6.2
12059,2014,7.3
12059,2013,8.2
12059,2012,9.2
12059,2011,10.0
12061,2021,5.0
12061,2020,7.9
12061,2019,4.0
12061,2018,4.5
12061,2017,5.2
12061,2016,6.2
12061,2015,6.9
12061,2014,8.2
12061,2013,10.1
12061,2012,11.3
12061,2011,12.9
12063,2021,4.7
12063,2020,5.6
12063,2019,3.6
12063,2018,4.0
12063,2017,4.4
12063,2016,5.1
12063,2015,6.0
12063,2014,7.0
12063,2013,7.9
12063,2012,9.0
12063,2011,9.6
12065,2021,3.8
12065,2020,5.1
12065,2019,3.0
12065,2018,3.4
12065,2017,3.9
12065,2016,4.7
12065,2015,6.0
12065,2014,6.9
12065,2013,8.1
12065,2012,9.6
12065,2011,10.2
12067,2021,4.8
12067,2020,5.3
12067,2019,3.5
12067,2018,4.0
12067,2017,4.4
12067,2016,4.9
12067,2015,4.7
12067,2014,5.3
12067,2013,5.4
12067,2012,5.9
12067,2011,6.3
12069,2021,4.6
12069,2020,8.8
12069,2019,3.2
12069,2018,3.5
12069,2017,4.1
12069,2016,4.8
12069,2015,5.6
12069,2014,6.7
12069,2013,7.7
12069,2012,9.1
12069,2011,10.8
12071,2021,4.4
12071,2020,7.8
12071,2019,3.3
12071,2018,3.6
12071,2017,4.2
12071,2016,4.7
12071,2015,5.2
12071,2014,6.3
12071,2013,7.6
12071,2012,9.1
12071,2011,11.0
12073,2021,4.3
12073,2020,6.1
12073,2019,3.1
12073,2018,3.4
12073,2017,3.9
12073,2016,4.5
12073,2015,5.1
12073,2014,5.8
12073,2013,6.4
12073,2012,7.2
12073,2011,7.9
12075,2021,4.5
12075,2020,6.1
12075,2019,3.7
12075,2018,3.9
12075,2017,4.5
12075,2016,5.2
12075,2015,5.8
12075,2014,7.1
12075,2013,8.5
12075,2012,9.6
12075,2011,11.1
12077,2021,4.3
12077,2020,5.1
12077,2019,3.5
12077,2018,4.0
12077,2017,4.6
12077,2016,5.3
12077,2015,6.0
12077,2014,6.9
12077,2013,7.1
12077,2012,8.3
12077,2011,9.3
12079,2021,5.8
12079,2020,7.3
12079,2019,4.4
12079,2018,4.6
12079,2017,5.1
12079,2016,6.1
12079,2015,6.2
12079,2014,7.4
12079,2013,8.1
12079,2012,8.9
12079,2011,9.7
12081,2021,4.1
12081,2020,7.1
12081,2019,3.2
12081,2018,3.5
12081,2017,4.1
12081,2016,4.6
12081,2015,5.1
12081,2014,6.0
12081,2013,7.0
12081,2012,8.4
12081,2011,10.1
12083,2021,5.0
12083,2020,7.2
12083,2019,3.8
12083,2018,4.3
12083,2017,4.9
12083,2016,5.7
12083,2015,6.6
12083,2014,7.6
12083,2013,8.9
12083,2012,10.6
12083,2011,12.5
12085,2021,3.9
12085,2020,6.5
12085,2019,3.3
12085,2018,3.7
12085,2017,4.3
12085,2016,5.0
12085,2015,5.4
12085,2014,6.3
12085,2013,7.5
12085,2012,8.6
12085,2011,10.0
12086,2021,5.5
12086,2020,7.9
12086,2019,2.9
12086,2018,3.7
12086,2017,4.7
12086,2016,5.4
12086,2015,6.0
12086,2014,6.4
12086,2013,7.4
12086,2012,7.8
12086,2011,9.7
12087,2021,3.3
12087,2020,8.5
12087,2019,2.3
12087,2018,2.9
12087,2017,3.6
12087,2016,3.4
12087,2015,3.5
12087,2014,4.3
12087,2013,5.1
12087,2012,5.9
12087,2011,7.1
12089,2021,3.6
12089,2020,5.9
12089,2019,3.0
12089,2018,3.3
12089,2017,4.0
12089,2016,4.6
12089,2015,5.2
12089,2014,6.2
12089,2013,7.0
12089,2012,8.3
12089,2011,9.8
12091,2021,3.5
12091,2020,5.8
12091,2019,2.8
12091,2018,3.1
12091,2017,3.5
12091,2016,4.1
12091,2015,4.6
12091,2014,5.4
12091,2013,6.0
12091,2012,7.0
12091,2011,7.9
12093,2021,4.8
12093,2020,6.3
12093,2019,3.9
12093,2018,4.2
12093,2017,4.8
12093,2016,5.8
12093,2015,6.4
12093,2014,7.7
12093,2013,9.1
12093,2012,10.3
12093,2011,12.1
12095,2021,5.2
12095,2020,11.0
12095,2019,3.0
12095,2018,3.3
12095,2017,3.8
12095,2016,4.4
12095,2015,5.1
12095,2014,6.1
12095,2013,7.1
12095,2012,8.5
12095,2011,10.0
12097,2021,5.8
12097,2020,13.2
12097,2019,3.2
12097,2018,3.6
12097,2017,4.2
12097,2016,4.8
12097,2015,5.8
12097,2014,7.0
12097,2013,8.3
12097,2012,9.8
12097,2011,11.5
12099,2021,4.5
12099,2020,8.0
12099,2019,3.4
12099,2018,3.7
12099,2017,4.2
12099,2016,4.8
12099,2015,5.2
12099,2014,6.1
12099,2013,7.5
12099,2012,8.8
12099,2011,10.2
12101,2021,4.3
12101,2020,7.1
12101,2019,3.4
12101,2018,3.8
12101,2017,4.3
12101,2016,5.0
12101,2015,5.9
12101,2014,6.9
12101,2013,8.0
12101,2012,9.4
12101,2011,11.0
12103,2021,4.1
12103,2020,7.4
12103,2019,3.1
12103,2018,3.4
12103,2017,3.9
12103,2016,4.5
12103,2015,5.0
12103,2014,6.0
12103,2013,7.0
12103,2012,8.3
12103,2011,9.9
12105,2021,5.3
12105,2020,9.2
12105,2019,3.7
12105,2018,4.1
12105,2017,4.7
12105,2016,5.4
12105,2015,6.4
12105,2014,7.5
12105,2013,8.6
12105,2012,10.0
12105,2011,11.4
12107,2021,6.0
12107,2020,8.1
12107,2019,4.3
12107,2018,4.8
12107,2017,5.3
12107,2016,6.3
12107,2015,7.7
12107,2014,9.1
12107,2013,10.9
12107,2012,12.2
12107,2011,13.0
12109,2021,3.3
12109,2020,5.7
12109,2019,2.8
12109,2018,3.1
12109,2017,3.6
12109,2016,4.0
12109,2015,4.0
12109,2014,4.9
12109,2013,5.7
12109,2012,6.8
12109,2011,7.9
12111,2021,5.0
12111,2020,8.0
12111,2019,4.0
12111,2018,4.4
12111,2017,5.1
12111,2016,5.8
12111,2015,6.4
12111,2014,8.3
12111,2013,10.4
12111,2012,11.3
12111,2011,12.8
12113,2021,3.6
