FIPS,Year,total_population,median_age,housing_total,owner_occupied,renter_occupied,vacant,median_home_value,family_households,marital_total,never_married_male,now_married_male,divorced_male,widowed_male,never_married_female,now_married_female,widowed_female,divorced_female,under_18_in_hh,white,black,native,asian,pacific_islander,other_race,two_or_more_nh,hispanic,education_total_sex,male_complete_hs,male_some_college<1,male_some_college>1,male_associates,male_bachelors,male_masters,male_professional,male_doctorate,female_complete_hs,female_some_college<1,female_some_college>1,female_associates,female_bachelors,female_masters,female_professional,female_doctorate,median_hh_income,employed,unemployed,not_in_labor_force,commute_less_5min,commute_5_9min,commute_10_14min,commute_15_19min,commute_20_24min,commute_25_29min,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90_plus_min,work_in_owned_home,work_in_rental,median_property_taxes,occupation_total,Mgmt_Biz_Sci_Arts,Services,Sales_Admin,Nat-rsrc_Constr_Maint,Prod_Transp_Mvng
01001,2011,53944,36.4,19998,15548,4450,1861,137500,14631,42072,5596,12070,2058,457,4894,12156,2153,2688,14708,41653,9692,102,385,0,52,762,1298,34581,5512,1184,2577,985,2602,959,163,148,6601,1121,2806,1632,2505,858,129,114,53899,24139,1971,14315,559,2116,2491,3106,3691,2170,4747,906,1048,2036,602,276,428,171,392,24139,7524,3905,6653,2587,3470
01003,2011,179523,41.4,70757,53939,16818,32221,175700,50922,145055,16967,43928,7460,1888,13623,43374,7884,9931,41545,150413,16913,1092,1207,2,182,2279,7435,124450,16958,3497,9872,3878,11968,3364,1163,684,19313,4954,11021,5994,10978,4609,665,438,51321,79963,6631,55940,2900,7712,11487,11320,10350,4026,12176,1512,2858,5902,4272,1667,2304,236,574,79963,25808,14124,22252,10110,7669
01005,2011,27546,38.3,9589,6371,3218,2314,91600,6634,22500,4742,5522,1434,337,2644,4896,1428,1497,6111,12941,12571,92,37,0,20,541,1344,18924,3276,502,1502,469,713,299,210,59,2973,427,1156,773,767,515,41,26,34041,9637,1439,11040,850,1049,1803,1206,821,457,999,329,169,761,539,238,184,42,314,9637,2600,1419,2372,865,2381
01007,2011,22746,39.1,7225,5998,1227,1708,87500,5334,18311,2983,5171,1383,180,2039,4201,1190,1164,5336,17084,5142,77,12,0,0,56,375,15291,3556,287,953,524,551,67,49,27,2858,347,1061,515,633,92,26,55,40506,9353,994,7690,298,493,1306,1013,1012,270,1382,725,733,876,454,199,169,0,225,9353,2007,1267,2384,1560,2135
01009,2011,57140,38.8,20954,16747,4207,2774,111500,15473,45567,5386,13724,2728,583,3756,13426,3105,2859,14060,50891,762,248,48,0,0,716,4475,38473,6746,984,2638,976,1489,338,170,81,7093,1257,2589,1513,1296,721,202,50,45404,24174,2422,18089,835,1527,2082,1982,1966,1038,3565,1358,1204,4033,2534,757,598,87,368,24174,6098,3892,5970,3847,4367
01011,2011,10877,41.2,3760,2994,766,760,68000,2422,8971,2290,1754,623,167,1409,1472,725,531,2384,2431,7619,18,0,18,0,107,684,7537,1454,70,668,143,263,56,98,0,1160,183,418,247,392,272,3,0,31955,4007,737,4074,214,399,366,467,312,242,608,118,99,587,485,0,13,0,354,4007,875,565,844,620,1103
01013,2011,20860,40,8090,5749,2341,1897,74300,5329,16709,2386,3822,1108,306,2546,3777,1497,1267,5036,11338,9091,30,164,0,0,146,91,14096,2244,348,844,285,506,160,48,27,3031,357,1053,631,689,248,44,20,31273,8076,1110,7226,298,1119,1339,1526,603,250,845,103,281,666,598,121,48,35,329,8076,1945,1506,2085,678,1862
01015,2011,117614,38.4,45923,32171,13752,7285,99600,30469,95269,14029,24455,5226,1389,12457,24361,6448,6904,26833,86884,23919,328,724,82,50,1907,3720,78106,12050,2367,5836,2219,3508,1467,373,579,14269,2571,6277,2856,4089,1853,247,249,39467,47597,6509,39386,2470,4589,7019,8804,6971,3459,5615,1262,1065,2240,1485,824,566,89,420,47597,12739,8193,11498,5343,9824
01017,2011,34375,40.6,13562,9677,3885,3330,82400,9275,27950,4006,6777,1703,552,3643,7439,2096,1734,7876,19987,13490,14,149,17,0,178,540,23740,3747,787,1388,637,799,255,113,28,4887,881,1787,1005,794,435,39,39,32186,13570,2378,11591,287,923,2066,2710,1776,706,2156,351,186,890,492,291,384,0,283,13570,3194,1986,3721,1776,2893
01019,2011,25819,44.2,11508,8721,2787,4608,96200,8355,21421,1836,7220,1092,422,1350,7136,1270,1095,5354,23758,1269,181,57,3,0,220,331,18634,3343,605,1443,477,623,228,83,31,3086,657,1474,508,586,448,46,61,37833,10369,1537,9042,490,995,1264,1377,1005,663,1617,493,456,788,514,252,130,13,388,10369,2590,1327,2324,1521,2607
01021,2011,43444,37.3,16277,12259,4018,2954,104300,12236,34430,4220,10312,2023,399,3309,10288,1996,1883,10888,35501,4051,153,99,0,51,537,3052,28821,5205,633,1893,967,939,424,68,30,5785,690,1988,823,1283,664,112,47,40418,18051,2263,13539,589,1356,2052,2221,1640,856,2290,615,604,2710,1833,775,213,13,384,18051,4486,2568,4508,3302,3187
01023,2011,13953,43.6,5165,4382,783,2159,61400,3468,11361,1796,2584,651,309,1530,2871,852,768,3183,7727,6006,0,45,0,0,138,37,9713,1872,287,367,169,350,71,37,9,1944,231,730,528,266,268,23,0,32188,4439,859,5879,233,434,413,472,389,151,574,95,94,578,482,241,57,44,199,4439,1256,594,832,882,875
01025,2011,26046,39.7,9114,7027,2087,3534,79900,6079,20778,3221,4711,1229,534,3322,4769,1801,1191,6583,14088,10872,492,107,0,0,200,287,17219,3271,435,886,702,589,208,65,41,3684,594,897,703,844,504,19,0,29668,8488,1436,10373,570,1151,1269,1615,871,325,894,142,118,430,617,313,74,2,292,8488,2306,1318,1887,1080,1897
01027,2011,14010,41.7,5837,4462,1375,942,83400,4204,11375,1226,3394,702,189,952,3517,831,564,3141,11228,2213,21,0,0,0,170,378,9845,1881,202,565,266,321,86,5,0,1900,371,685,411,307,150,15,7,35410,5608,687,4884,201,570,591,881,712,238,482,124,93,642,414,158,202,35,220,5608,1426,664,1078,940,1500
01029,2011,14881,40.6,5521,4333,1188,1183,88200,4203,11985,1472,3398,808,201,1102,3464,684,856,3579,13822,552,38,2,0,0,173,294,10169,1838,267,680,274,236,113,44,7,2160,324,632,290,332,173,54,0,38785,5996,855,4915,296,472,522,748,679,222,883,199,155,826,399,181,222,12,374,5996,1528,963,1185,1032,1288
01031,2011,49221,37.7,18799,13268,5531,3350,121800,13009,39340,5589,10829,2248,469,4161,10856,2320,2868,11861,35761,8512,354,500,0,97,1076,2921,32909,4241,915,2588,1324,2168,900,255,145,5193,1254,2213,1642,2206,1152,110,74,42065,19379,1527,16028,679,2400,3433,3595,3589,1032,3062,458,457,817,405,238,362,132,460,19379,6306,3009,4576,2606,2882
01033,2011,54478,41.7,22322,16231,6091,3375,97300,15597,44627,5224,12881,2386,573,4609,13185,2747,3022,12073,43457,8761,326,208,0,12,599,1115,37992,6119,1294,2704,1137,2020,660,210,179,6700,1448,3138,1540,2176,1083,194,80,40247,22318,2068,19380,838,2783,4197,3789,2680,1106,2596,319,511,1120,1259,406,310,56,374,22318,6087,3245,5738,2655,4593
01035,2011,13286,43.1,4712,3739,973,2387,76700,3139,10736,1943,2524,430,246,1645,2439,782,727,3108,6843,5903,135,0,0,0,374,31,8822,1491,83,416,431,283,104,53,28,1896,154,507,419,274,209,59,9,27977,4029,975,5284,220,540,684,519,426,151,534,90,220,280,148,138,20,0,346,4029,1090,669,964,509,797
01037,2011,11303,43.7,4667,3950,717,1802,79200,3099,9431,1202,2475,888,184,1018,2488,554,622,2349,7418,3598,0,0,0,0,91,196,8115,1796,167,508,160,152,138,22,0,1845,317,382,239,251,173,36,0,37191,4424,710,4092,124,213,457,742,599,235,745,19,184,220,361,199,88,21,199,4424,923,720,937,702,1142
01039,2011,37736,42.1,14742,10906,3836,4079,86100,10273,30722,4266,7765,1974,671,3157,8453,2329,2107,8561,31719,4728,240,128,0,29,392,500,26167,4671,787,1690,847,1037,305,112,91,4674,879,1891,1225,1065,564,97,106,33544,15322,1618,13381,1237,3032,2655,2347,1742,502,1175,88,272,552,669,417,286,75,293,15322,3725,2164,3793,2633,3007
01041,2011,13938,39.7,5650,3903,1747,1108,75400,3789,11237,1391,3121,641,278,1213,2959,882,752,3310,9984,3131,101,180,0,0,349,193,9499,1731,288,646,220,275,133,31,16,1775,360,737,370,376,253,10,8,38041,5886,603,4459,189,594,700,646,519,464,760,174,181,516,681,70,349,39,247,5886,1686,904,1427,829,1040
01043,2011,80246,39.9,31364,23618,7746,5630,102300,22464,64753,7706,19118,3878,1029,5568,19706,4002,3746,18663,74470,689,505,349,32,9,870,3322,54704,8548,1600,4019,2093,2394,809,337,98,9335,1819,4135,2620,2413,1397,197,102,38703,33204,3218,27093,945,3544,4979,4505,3840,1998,3587,840,849,2457,3087,916,665,42,297,33204,8653,5293,7666,5012,6580
